Date,Article,Coord,Location,Mag,Deaths,Description,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
c. 1920 BC,Jishi Gorge outburst flood,35°N 102°E﻿ / ﻿35°N 102°E,Qinghai / Gansu,,,,,,,
512-05-21,512 Shaanxi earthquake,38°54′N 112°48′E﻿ / ﻿38.9°N 112.8°E,"Dai County, Shaanxi",7.5 Ms,"5,310 (estimate)",,,,,
1038-01-09,1038 Dingxiang earthquake,38°24′N 112°55′E﻿ / ﻿38.40°N 112.92°E,"Dingxiang County, Shaanxi",7.25 Ms,32300,,,,,
1290-09-27,1290 Zhili earthquake,41°30′N 119°18′E﻿ / ﻿41.5°N 119.3°E,"Ningcheng County, Inner Mongolia",6.8 Ms,100000,,,,,
1303-09-25,1303 Hongdong earthquake,36°18′N 111°42′E﻿ / ﻿36.3°N 111.7°E,Shaanxi,8.0 ML,"270,000",Taiyuan and Pingyang were leveled.,,,,
1337-09-08,1337 Huailai earthquake,40°24′N 115°42′E﻿ / ﻿40.4°N 115.7°E,"Hebei, Beijing",6.5 Ms,,.,,,,
1536-03-20,1536 Xichang earthquake,28°06′N 102°06′E﻿ / ﻿28.1°N 102.1°E,Sichuan,7.5,thousands,,,,,
1556-01-23,1556 Shaanxi earthquake,34°30′N 109°18′E﻿ / ﻿34.50°N 109.30°E,Shaanxi,8.0 Mw,"100,000+","Population decreased by additional 730,000 due to emigration, plagues, and famine.",,,,
1604-12-29,1604 Quanzhou earthquake,23°32′N 117°14′E﻿ / ﻿23.54°N 117.24°E,Fujian,8.1 Mw,Unknown,Largest earthquake in southern China,,,,
1605-07-13,1605 Guangdong earthquake,19°54′N 110°30′E﻿ / ﻿19.9°N 110.5°E,Guangdong,7.5 Ms,several thousand,,,,,
1622-10-25,1622 North Guyuan earthquake,36°30′N 106°18′E﻿ / ﻿36.5°N 106.3°E,Ningxia,7.2 Mw,12000,,,,,
1626-06-28,1626 Lingqiu earthquake,39°24′N 114°12′E﻿ / ﻿39.4°N 114.2°E,Shaanxi,7.0 Ms,">5,200",,,,,
1668-07-25,1668 Tancheng earthquake,34°18′N 118°36′E﻿ / ﻿34.30°N 118.60°E,"Tancheng County, Shandong",8.5 Mw,50000,Largest seismic event ever recorded in history in eastern China.,,,,
